"Times","ctr","x","n","mean","lower","upper"
"5 X",0,9,100,0.09,0.05,0.16
"5 X",0.1,9,100,0.09,0.05,0.16
"5 X",0.2,9,100,0.09,0.05,0.16
"5 X",0.3,9,100,0.09,0.05,0.16
"5 X",0.4,9,100,0.09,0.05,0.16
"5 X",0.5,9,100,0.09,0.05,0.16
"5 X",0.6,9,100,0.09,0.05,0.16
"5 X",0.7,9,100,0.09,0.05,0.16
"5 X",0.8,9,100,0.09,0.05,0.16
"5 X",0.9,9,100,0.09,0.05,0.16
"5 X",1,9,100,0.09,0.05,0.16
"5 X",1.1,9,100,0.09,0.05,0.16
"10 X",0,9,100,0.09,0.05,0.16
"10 X",0.1,9,100,0.09,0.05,0.16
"10 X",0.2,9,100,0.09,0.05,0.16
"10 X",0.3,9,100,0.09,0.05,0.16
"10 X",0.4,9,100,0.09,0.05,0.16
"10 X",0.5,9,100,0.09,0.05,0.16
"10 X",0.6,9,100,0.09,0.05,0.16
"10 X",0.7,9,100,0.09,0.05,0.16
"10 X",0.8,9,100,0.09,0.05,0.16
"10 X",0.9,9,100,0.09,0.05,0.16
"10 X",1,9,100,0.09,0.05,0.16
"10 X",1.1,9,100,0.09,0.05,0.16
"15 X",0,9,100,0.09,0.05,0.16
"15 X",0.1,9,100,0.09,0.05,0.16
"15 X",0.2,9,100,0.09,0.05,0.16
"15 X",0.3,9,100,0.09,0.05,0.16
"15 X",0.4,9,100,0.09,0.05,0.16
"15 X",0.5,9,100,0.09,0.05,0.16
"15 X",0.6,9,100,0.09,0.05,0.16
"15 X",0.7,9,100,0.09,0.05,0.16
"15 X",0.8,9,100,0.09,0.05,0.16
"15 X",0.9,9,100,0.09,0.05,0.16
"15 X",1,9,100,0.09,0.05,0.16
"15 X",1.1,9,100,0.09,0.05,0.16
"20 X",0,9,100,0.09,0.05,0.16
"20 X",0.1,9,100,0.09,0.05,0.16
"20 X",0.2,9,100,0.09,0.05,0.16
"20 X",0.3,9,100,0.09,0.05,0.16
"20 X",0.4,9,100,0.09,0.05,0.16
"20 X",0.5,9,100,0.09,0.05,0.16
"20 X",0.6,9,100,0.09,0.05,0.16
"20 X",0.7,9,100,0.09,0.05,0.16
"20 X",0.8,9,100,0.09,0.05,0.16
"20 X",0.9,9,100,0.09,0.05,0.16
"20 X",1,9,100,0.09,0.05,0.16
"20 X",1.1,9,100,0.09,0.05,0.16
"40 X",0,9,100,0.09,0.05,0.16
"40 X",0.1,9,100,0.09,0.05,0.16
"40 X",0.2,9,100,0.09,0.05,0.16
"40 X",0.3,9,100,0.09,0.05,0.16
"40 X",0.4,9,100,0.09,0.05,0.16
"40 X",0.5,9,100,0.09,0.05,0.16
"40 X",0.6,9,100,0.09,0.05,0.16
"40 X",0.7,9,100,0.09,0.05,0.16
"40 X",0.8,9,100,0.09,0.05,0.16
"40 X",0.9,9,100,0.09,0.05,0.16
"40 X",1,9,100,0.09,0.05,0.16
"40 X",1.1,9,100,0.09,0.05,0.16
"60 X",0,9,100,0.09,0.05,0.16
"60 X",0.1,9,100,0.09,0.05,0.16
"60 X",0.2,9,100,0.09,0.05,0.16
"60 X",0.3,9,100,0.09,0.05,0.16
"60 X",0.4,9,100,0.09,0.05,0.16
"60 X",0.5,9,100,0.09,0.05,0.16
"60 X",0.6,9,100,0.09,0.05,0.16
"60 X",0.7,9,100,0.09,0.05,0.16
"60 X",0.8,9,100,0.09,0.05,0.16
"60 X",0.9,9,100,0.09,0.05,0.16
"60 X",1,9,100,0.09,0.05,0.16
"60 X",1.1,9,100,0.09,0.05,0.16
"80 X",0,9,100,0.09,0.05,0.16
"80 X",0.1,9,100,0.09,0.05,0.16
"80 X",0.2,9,100,0.09,0.05,0.16
"80 X",0.3,9,100,0.09,0.05,0.16
"80 X",0.4,9,100,0.09,0.05,0.16
"80 X",0.5,9,100,0.09,0.05,0.16
"80 X",0.6,9,100,0.09,0.05,0.16
"80 X",0.7,9,100,0.09,0.05,0.16
"80 X",0.8,9,100,0.09,0.05,0.16
"80 X",0.9,9,100,0.09,0.05,0.16
"80 X",1,9,100,0.09,0.05,0.16
"80 X",1.1,9,100,0.09,0.05,0.16
